?,date,facebookUrl,likesCount,postTitle,text
3508,2023-04-16T12:04:40.000Z,https://www.facebook.com/groups/univisionusers/posts/3328984310700745/,0,?????? ????? ?????? ???? ????? ???? ??????? ?????????? ?????? ??? ?? ????? ?? ??,Bi bs oilghgui bsn chn
3509,2023-04-16T12:00:44.000Z,https://www.facebook.com/groups/univisionusers/posts/3329354560663720/,0,Ene zagvariin udirdlaga hudaldaalagdaj bga gazar bna uu?,Dragonii 2dawhart univision zaswar deer bgaa
3510,2023-04-16T11:53:11.000Z,https://www.facebook.com/groups/univisionusers/posts/3328849787380864/,0,??? ?????? ?????? ???,Hudaldaanii gorim deeree bna
3511,2023-04-16T11:50:58.000Z,https://www.facebook.com/groups/univisionusers/posts/3327795264152983/,0,Huuhed kino uzeed iim garchijee?? baga bagaar tolj duusgah geed ter boltol  univisionoo tur haalgaad sar bolgon toldog suuri huraamjaa tolku bj boldiin boluu???,????
3512,2023-04-16T11:34:23.000Z,https://www.facebook.com/groups/univisionusers/posts/3329382903994219/,0,????? ?????????? ???? ??  ???????. ????????? ???????????.,Utasaa
3513,2023-04-16T11:17:29.000Z,https://www.facebook.com/groups/univisionusers/posts/3328999590699217/,0,V5.3 update ?????? ???? ?? ?,Hiicheed sanal bodloo uldeegerei. Gatsalt gh met
3514,2023-04-16T11:17:10.000Z,https://www.facebook.com/groups/univisionusers/posts/3328999590699217/,0,V5.3 update ?????? ???? ?? ?,.
3515,2023-04-16T11:15:58.000Z,https://www.facebook.com/groups/univisionusers/posts/3329483227317520/,0,Idevhjuulsen bagtsaa yaj ustgah bilee?,https://help.univision.mn/mon/002/00600213
3516,2023-04-16T11:10:01.000Z,https://www.facebook.com/groups/univisionusers/posts/3328798080719368/,0,Huuchin tohooromjnii udirdlaga bnuu. Avyaa,huuchin tuhuurumjni udirdlaga awna
3517,2023-04-16T11:09:34.000Z,https://www.facebook.com/groups/univisionusers/posts/3329276964004813/,0,??????? ?????,??? ????? ????? ???????? ??? ?????? ??????? ???????? ?? ???????? ?? ???? ???????
3518,2023-04-16T11:04:44.000Z,https://www.facebook.com/groups/univisionusers/posts/3329276964004813/,0,??????? ?????,Utasaa
3519,2023-04-16T10:54:04.000Z,https://www.facebook.com/groups/univisionusers/posts/3329276964004813/,0,??????? ?????,Dugaaraa avay
3520,2023-04-16T10:53:21.000Z,https://www.facebook.com/groups/univisionusers/posts/3329483227317520/,0,Idevhjuulsen bagtsaa yaj ustgah bilee?,.
3521,2023-04-16T10:52:09.000Z,https://www.facebook.com/groups/univisionusers/posts/3329276964004813/,0,??????? ?????,vn
3522,2023-04-16T10:47:08.000Z,https://www.facebook.com/groups/univisionusers/posts/3325716791027497/,0,????? ????? ???,????? ????????? ???? ??
3523,2023-04-16T09:30:15.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",Harin nogoo muuhai zuragtai ymnuud bhgui ih zugeer ghdee joohon oilgohguil bga auandaa oilgoh bho
3524,2023-04-16T09:18:17.000Z,https://www.facebook.com/groups/univisionusers/posts/3328185954113914/,0,??*?? ?????? ??????? ????? ??*??,#Univision ???????? ??? ??? ?????????? ???ý
3525,2023-04-16T07:48:42.000Z,https://www.facebook.com/groups/univisionusers/posts/3328765044056005/,0,,"?????? ??????? ???, Univision-?? ??? 1 ?????? ???? ???? ???, ???????? ??????? ??????? 1,1 ???? ??????? ????????? ????"
3526,2023-04-16T07:18:37.000Z,https://www.facebook.com/groups/univisionusers/posts/3328765044056005/,0,,mash ih gatsaj bn...
3527,2023-04-16T06:51:34.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",??????? ?????? ?????? ????????? ????? ??????
3528,2023-04-16T06:12:33.000Z,https://www.facebook.com/groups/univisionusers/posts/3328765044056005/,0,,?? ?? ?????? ?????? ????? ????????.
3529,2023-04-16T05:34:00.000Z,https://www.facebook.com/groups/univisionusers/posts/3327434404189069/,0,,Eniig chini avii
3530,2023-04-16T05:26:01.000Z,https://www.facebook.com/groups/univisionusers/posts/3328765044056005/,0,,.
3531,2023-04-16T05:15:24.000Z,https://www.facebook.com/groups/univisionusers/posts/3328765044056005/,0,,?? ?????? ??? ???????? ?????? ?????
3532,2023-04-16T04:59:27.000Z,https://www.facebook.com/groups/univisionusers/posts/3325716791027497/,0,????? ????? ???,Har tohooromj n bur huuchniih n bnoo. Uilchilgee ashiglaj bolohgui baihaadaa.
3533,2023-04-16T04:50:42.000Z,https://www.facebook.com/groups/univisionusers/posts/3328347094097800/,0,geree duussan tuhuurmjuud bgaa shvv vnegvi awaarai,Bga yu
3534,2023-04-16T04:45:47.000Z,https://www.facebook.com/groups/univisionusers/posts/3328765044056005/,2,,Mobinet
3535,2023-04-16T04:43:15.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",Bur tv uzeh gj buun yum bolj bn
3536,2023-04-16T04:32:16.000Z,https://www.facebook.com/groups/univisionusers/posts/3328765044056005/,4,,Sky media gaar solix sanaatai baigaa sky media xeregledeg xvmvvs baiwal xer bn zowolgoo ogooch
3537,2023-04-16T04:29:09.000Z,https://www.facebook.com/groups/univisionusers/posts/3327795264152983/,0,Huuhed kino uzeed iim garchijee?? baga bagaar tolj duusgah geed ter boltol  univisionoo tur haalgaad sar bolgon toldog suuri huraamjaa tolku bj boldiin boluu???,kodoo solih heregtei
3538,2023-04-16T04:02:48.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",Shinclltý gxy ingj shincllt xiij bsny ornd zuer shincclt xiixq baimr yoommm
3539,2023-04-16T04:01:45.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????","3.0 ruugee butsmr ymaa Univision Mongolia 
Suvag solih xurtl ketsvv bn shvvvvvvv!!!!!!!"
3540,2023-04-16T03:52:47.000Z,https://www.facebook.com/groups/univisionusers/posts/3328765044056005/,0,,Uher teregnees udaan uur tv suvag yu bna
3541,2023-04-16T03:35:15.000Z,https://www.facebook.com/groups/univisionusers/posts/3328238570775319/,0,Tsagaan wifi tohooromj zarah hun bnuu,Har zuragtnii tuhuurumj bnuu
3542,2023-04-16T03:33:59.000Z,https://www.facebook.com/groups/univisionusers/posts/3325716791027497/,0,????? ????? ???,Ene tuhuurumjuud geree tsutslagdsanuu
3543,2023-04-16T03:32:44.000Z,https://www.facebook.com/groups/univisionusers/posts/3325716791027497/,0,????? ????? ???,Udirdlaga tuhuurumj hed be
3544,2023-04-16T03:31:57.000Z,https://www.facebook.com/groups/univisionusers/posts/3328765044056005/,0,,Dawrah tsaashaa
3545,2023-04-16T03:31:30.000Z,https://www.facebook.com/groups/univisionusers/posts/3328148360784340/,0,iim tohooromj hyamd zarah hvn bna uu sonirhoy,Zuragtiin tuhuurumj bnuu
3546,2023-04-16T03:13:26.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",?????.?????? ?????? ? ??? ? ????????
3547,2023-04-16T02:45:51.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,1,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",????? ???? ?????? ?? ???? ???? ?????? ??  ?????? ????? ? ??? ??????? ???? ???
3548,2023-04-16T02:39:49.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,1,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",???????? ?? ?????? ? ??????!! ??????????? ??? ????????  ?? ???!!
3549,2023-04-16T02:26:25.000Z,https://www.facebook.com/groups/univisionusers/posts/3062650344000811/,1,sony brendiin universal tv udirdlaga zarna shine,Hi bgaa yu
3550,2023-04-16T02:23:32.000Z,https://www.facebook.com/groups/univisionusers/posts/3327467700852406/,0,"????? ??????? ?? ?????????? ??????? ???? ????? ???!

univision??? ?????? ?????? ???? ????????? ????? ?? ??????!!!!",???????? ?? ??? ?????? ??????. ??? ??????????
3551,2023-04-16T02:13:19.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",ta nar end bicheed ymar nemer baihawde orgodol gomdoloo bariad ochij uulzaj bj l vr dvn gariishd
3552,2023-04-16T02:12:07.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",?????????? ???? ??????????? ?????? ????????? ? ??? ??
3553,2023-04-16T02:08:46.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",yoo bvvr towogtei bolson bna suwag hoorondoo shiljihdee gatsaj ntr bolood kino vzeh gj hel songolt ntrn haanaa ch garaad bga durgvi hvreed vzeegvi hvvhdvvd oroldwol shuudl tolbortei kino contentuud iw el shvv bvr
3554,2023-04-16T02:06:32.000Z,https://www.facebook.com/groups/univisionusers/posts/3328765044056005/,1,,??????? ?????????? ??????
3555,2023-04-16T01:34:09.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",Tiim shuu
3556,2023-04-16T01:24:39.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",?????? ??? ??? ???? ?????? ??????
3557,2023-04-16T01:18:13.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",Vzej bga kinogoo oloxoo bailaa gd exner nadruu uurlaad vnendee l bi ch olj ogch chdxgv  xogloj bnda ??????
3558,2023-04-16T01:12:32.000Z,https://www.facebook.com/groups/univisionusers/posts/3328765044056005/,0,,Aimahigtai gatshiimaa
3559,2023-04-16T01:06:14.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",????? ?????? ????
3560,2023-04-16T01:04:32.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",???? ??????? ?????? ?????? ?????.
3561,2023-04-16T00:28:52.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,1,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",??????? ?????????? ????? ?? ?????? ?? ? ???????????. ?????? ??????? ???? ? ?????? ???? ??? ?? ??? ??? ??????? ??. ???????? ?????? ??? ??? ?????????? ????? ? 1 ??????? ?????? ??????? ???? ??????? ? ?? ??. ?????? ??? ??? ??????? ???
3562,2023-04-16T00:19:32.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,1,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",?????? ?? ???? ?????? ?????????? ???? ??? ???????? ?????? ????? ?????? ?????? ??????? ??????? ????? ????????? ??? ?????? ?????. ?????? ????? ???????????? ?????? ???? ?.? ??? ????????? ?????? ???? ????? ????? ?????? ?????? ?????? ?? ?????? ???????? ??????
3563,2023-04-16T00:09:04.000Z,https://www.facebook.com/groups/univisionusers/posts/3328765044056005/,38,,"Univision Mongolia ??????????? ??????????, ????????????, ??? ????? ????? ?????????? ,????????????? ?? ??? ?? ?????????."
3564,2023-04-16T00:00:45.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",vnen balai boltson bna lee
3565,2023-04-15T23:45:05.000Z,https://www.facebook.com/groups/univisionusers/posts/3326933580905818/,0,????????? ?????????? ?????? ???????? ?????. ?????????? ???? ?????? ????? ?????? ???? ??? ???????????? ??? ???? ????????? ?????? ????? ??? ????? ... ?????? ? ????? ????? ????? ??? ???.,?????? ???? ?? ??? ?? ???
3566,2023-04-15T23:44:36.000Z,https://www.facebook.com/groups/univisionusers/posts/3328765044056005/,2,,??? ??????? ? ?????? ???? ??? ??. ?????????? ?????????
3567,2023-04-15T23:18:54.000Z,https://www.facebook.com/groups/univisionusers/posts/3326933580905818/,0,????????? ?????????? ?????? ???????? ?????. ?????????? ???? ?????? ????? ?????? ???? ??? ???????????? ??? ???? ????????? ?????? ????? ??? ????? ... ?????? ? ????? ????? ????? ??? ???.,"?????? ????? ??? ??????????,??? 20-???? ???? ?????? ???????? ???? ?????????  ???? ??????"
3568,2023-04-15T23:17:57.000Z,https://www.facebook.com/groups/univisionusers/posts/3325716791027497/,0,????? ????? ???,Udurdlagiug ni aviiii
3569,2023-04-15T23:09:05.000Z,https://www.facebook.com/groups/univisionusers/posts/3328238570775319/,0,Tsagaan wifi tohooromj zarah hun bnuu,Bha
3570,2023-04-15T22:37:00.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",Sanuulj boldoggui ym baina hetsuu bolson
3571,2023-04-15T22:12:29.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",????? ???? ??? ???????? ??????? ?? ????? ???? ???? ????? ?????? ??
3572,2023-04-15T21:11:45.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,1,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",Mongoliin amidral yag l baidagaaraa eserguutsej chadahgui dasaad l yavna gesen oilgolttoi undesnii uildverlel bolon busad uilchilgee
3573,2023-04-15T21:08:49.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",Univishiong odoo bugd salagtsagaay
3574,2023-04-15T20:29:49.000Z,https://www.facebook.com/groups/univisionusers/posts/3328798080719368/,0,Huuchin tohooromjnii udirdlaga bnuu. Avyaa,??????????????? ???-????? ?????. 88051230
3575,2023-04-15T18:31:05.000Z,https://www.facebook.com/groups/univisionusers/posts/3328185954113914/,0,??*?? ?????? ??????? ????? ??*??,?? ????
3576,2023-04-15T16:58:24.000Z,https://www.facebook.com/groups/univisionusers/posts/3328185954113914/,0,??*?? ?????? ??????? ????? ??*??,yostooi2
3577,2023-04-15T16:49:40.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",za bid uhaad neg ym uchrig ni olchihno huuhed hugshchvd udurt gert vlddeg uhaj ym vzej chadku bn gd l gomdollod bnle
3578,2023-04-15T16:47:47.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,1,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????","Ene shine tohirgoon deer ni sanuulga yaj tohiruulj bnaa, bolohgui yum"
3579,2023-04-15T16:30:49.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",Gatsaad sywag solih gej bvr hetsvv sar bolood vnen ihseed hetsvv eymaa
3580,2023-04-15T16:05:02.000Z,https://www.facebook.com/groups/univisionusers/posts/3328148360784340/,0,iim tohooromj hyamd zarah hvn bna uu sonirhoy,"ene har jijig ne bgaashu 
zarna"
3581,2023-04-15T16:01:29.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",Yaatsan shinechlelt gexeereee iim bdiin ..ddaaa..??
3582,2023-04-15T15:45:39.000Z,https://www.facebook.com/groups/univisionusers/posts/3325295624402947/,0,"??? ????? ?????? ????? ????? ????????? ??????? ????????? ??????? ?????, ????????? ????????? ?????? ???? ????. ??? ?????? ????? ?? ?????? 1424 ?? ????? ???????, ????????? ?? ???????? ?????? ? ???????...",Shulj idehdee ym yrihgui daraa n heden opirator gonshignono ugaasaa dandaa
3583,2023-04-15T15:38:49.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",?? ??? ?????? ???????.?? ????? ??? ????????????? ?.
3584,2023-04-15T15:30:27.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,4,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",suvag solij uzeh ch ulger yum bnshdee gatsaad bnoo bas bagtsuud ni hog bolchijeee  huuchin luugaa butsayaaa
3585,2023-04-15T15:26:16.000Z,https://www.facebook.com/groups/univisionusers/posts/3326933580905818/,0,????????? ?????????? ?????? ???????? ?????. ?????????? ???? ?????? ????? ?????? ???? ??? ???????????? ??? ???? ????????? ?????? ????? ??? ????? ... ?????? ? ????? ????? ????? ??? ???.,"??????? ???,?????? ??? ?????? 25 ????? ???? ???? ?????? ???????? ???. ??? ?????????? ?????????.!?????????."
3586,2023-04-15T15:21:47.000Z,https://www.facebook.com/groups/univisionusers/posts/3326933580905818/,0,????????? ?????????? ?????? ???????? ?????. ?????????? ???? ?????? ????? ?????? ???? ??? ???????????? ??? ???? ????????? ?????? ????? ??? ????? ... ?????? ? ????? ????? ????? ??? ???.,"??? ???? ????? ????. 1 ???? 10 ?????? ???? ?????? ?????????? ???????? ????? ???? ??????????. ????? ??? 4500? ???? ????????? ??????. ??? ????? ???????? ??? 3000? ???? ??????? ?????, ??? ??? ?????. ??? 2???? ?????? 3000? ????? ????? ?????? ?? ?? ??..."
3587,2023-04-15T14:52:06.000Z,https://www.facebook.com/groups/univisionusers/posts/3326933580905818/,0,????????? ?????????? ?????? ???????? ?????. ?????????? ???? ?????? ????? ?????? ???? ??? ???????????? ??? ???? ????????? ?????? ????? ??? ????? ... ?????? ? ????? ????? ????? ??? ???.,ok
3588,2023-04-15T14:46:26.000Z,https://www.facebook.com/groups/univisionusers/posts/3328185954113914/,0,??*?? ?????? ??????? ????? ??*??,univition buur shiechll hisn gcd arail udaan blgd haytsn data entr ni unaj munaad.
3589,2023-04-15T14:44:15.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",Hetsuu bolson bn huuchin luu n shiljuuleechee
3590,2023-04-15T14:36:18.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",????? ????? ??? ?????? ????
3591,2023-04-15T14:09:23.000Z,https://www.facebook.com/groups/univisionusers/posts/3328185954113914/,0,??*?? ?????? ??????? ????? ??*??,"Aliwaa kompaniin marketeng tanii mungiig yaj ahiu awah tuhai arga, uhaan uym shvv !"
3592,2023-04-15T14:08:07.000Z,https://www.facebook.com/groups/univisionusers/posts/3328765044056005/,0,,Yes??
3593,2023-04-15T14:04:56.000Z,https://www.facebook.com/groups/univisionusers/posts/3328765044056005/,0,,Voo
3594,2023-04-15T13:50:22.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",Estoi hog boljee uur kabel tawiuliidaa hog ymaa
3595,2023-04-15T13:49:48.000Z,https://www.facebook.com/groups/univisionusers/posts/3328755524056957/,0,"?????? ????????? ?????? ????????? ?? ??.
????? ???
???? ???? ???????????? ???? ?? ????? ????? ??? ??? ???? ????",???????? ? ?????
